Player,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,3P%,2P%,FT%,FG%,eFG%,Component 1,Component 2,Dimension 1,Dimension 2
Bismack Biyombo\biyombi01,0.1136653895274585,0.19923371647509577,0.0,0.0,0.1136653895274585,0.19923371647509577,0.07407407407407407,0.11621966794380588,0.10344827586206896,0.2120051085568327,0.31545338441890164,0.0421455938697318,0.0140485312899106,0.05236270753512133,0.04342273307790549,0.13154533844189017,0.30140485312899107,C,0.0,0.5705128205128205,0.6373626373626373,0.5705128205128205,1.0,0.6290214002158996,1.9795498739280586,-15.389531,4.4633136
Blake Griffin\griffbl01,0.23607932875667428,0.511441647597254,0.07208237986270023,0.19908466819221968,0.16399694889397406,0.3123569794050343,0.15789473684210525,0.20976353928299007,0.03813882532418002,0.17734553775743708,0.2154843630816171,0.15331807780320367,0.019832189168573607,0.010678871090770405,0.09649122807017543,0.07589626239511824,0.7021357742181541,PF,0.3620689655172414,0.525030525030525,0.7527272727272727,0.4615958240119314,0.8473344103392568,1.2041358087714977,-1.4885275681828636,-6.5164585,-12.210804
Boban Marjanović\marjabo01,0.23494860499265785,0.38179148311306904,0.005873715124816446,0.014684287812041116,0.2290748898678414,0.3671071953010279,0.14390602055800295,0.19236417033773862,0.1277533039647577,0.26138032305433184,0.3891336270190896,0.07929515418502203,0.023494860499265784,0.039647577092511016,0.08663729809104258,0.13215859030837004,0.6196769456681351,C,0.4,0.624,0.7480916030534351,0.6153846153846154,0.9875,2.1322140177148805,0.503859511144915,-14.416097,-4.3608227
Bobby Portis\portibo01,0.21478060046189376,0.48344880677444185,0.057736720554272515,0.147036181678214,0.15704387990762125,0.3364126250962279,0.059276366435719784,0.07467282525019246,0.08391070053887606,0.22632794457274827,0.3102386451116243,0.05542725173210162,0.026943802925327175,0.015396458814472672,0.05696689761354888,0.11162432640492687,0.5465742879137798,PF,0.39267015706806285,0.4668192219679634,0.7938144329896907,0.4442675159235669,0.8655913978494624,0.6708582154232048,-0.26073329236083315,3.245992,-16.298145
Bogdan Bogdanović\bogdabo01,0.18541345659989728,0.44324601951720594,0.06882383153569595,0.19106317411402157,0.11658962506420134,0.25218284540318436,0.06882383153569595,0.08320493066255778,0.02054442732408834,0.10426296866974834,0.12480739599383667,0.13713405238828968,0.03697996918335902,0.007704160246533128,0.060092449922958396,0.07293271700051361,0.5084745762711864,SG,0.3602150537634409,0.4623217922606925,0.8271604938271605,0.4183082271147161,0.814404432132964,-0.036469253063571225,-1.1156929174797536,4.309885,-8.18767
Bojan Bogdanović\bogdabo02,0.20287602020987175,0.4084726000777303,0.06373882627283327,0.15001943256898562,0.13913719393703847,0.25845316750874464,0.09560823940924991,0.11853867081228138,0.012825495530509134,0.11659541391371939,0.12942090944422852,0.06257287213369607,0.02681694520015546,0.000388651379712398,0.05207928488146133,0.05363389040031092,0.5650991061018267,SF,0.42487046632124353,0.5383458646616541,0.8065573770491803,0.4966698382492864,0.842911877394636,0.2779391962974366,-1.1477778202996582,4.864262,-13.130094
Bonzie Colson\colsobo01,0.1326530612244898,0.3979591836734694,0.05102040816326531,0.21428571428571427,0.08163265306122448,0.1836734693877551,0.08163265306122448,0.09183673469387756,0.08163265306122448,0.22448979591836735,0.30612244897959184,0.030612244897959183,0.05102040816326531,0.01020408163265306,0.030612244897959183,0.030612244897959183,0.3979591836734694,SF,0.23809523809523808,0.4444444444444444,0.8888888888888888,0.3333333333333333,0.8076923076923077,-0.21940812590466324,0.0268817417252198,13.542171,-9.14372
Brad Wanamaker\wanambr01,0.1457725947521866,0.30612244897959184,0.04664723032069971,0.11370262390670553,0.09912536443148688,0.1924198250728863,0.06997084548104957,0.08163265306122448,0.008746355685131196,0.11078717201166181,0.119533527696793,0.16326530612244897,0.03498542274052478,0.0058309037900874635,0.05539358600583091,0.09912536443148688,0.40816326530612246,PG,0.41025641025641024,0.5151515151515151,0.8571428571428571,0.47619047619047616,0.84,-0.1652654044507253,-0.5532190816684678,2.0191853,-3.2860863
Bradley Beal\bealbr01,0.2523117569352708,0.5313738441215323,0.0690224570673712,0.19682959048877147,0.1832892998678996,0.3345442536327609,0.11955085865257596,0.14795244385733158,0.029392338177014532,0.10634081902245707,0.1357331571994716,0.14795244385733158,0.039960369881109646,0.01915455746367239,0.07397622192866579,0.07463672391017173,0.6931968295904888,SG,0.35067114093959734,0.5478775913129319,0.8080357142857143,0.4748290863890615,0.8632198952879581,0.9832603609669847,-1.603776791122643,-4.672409,-12.597391
Brandon Goodwin\goodwbr01,0.10526315789473684,0.40350877192982454,0.03508771929824561,0.10526315789473684,0.07017543859649122,0.2982456140350877,0.15789473684210525,0.19298245614035087,0.017543859649122806,0.03508771929824561,0.05263157894736842,0.24561403508771928,0.0,0.0,0.05263157894736842,0.12280701754385964,0.40350877192982454,PG,0.3333333333333333,0.23529411764705882,0.8181818181818182,0.2608695652173913,0.8333333333333334,-0.17187004881240578,-0.8480756552468081,-1.5463474,-6.4456525
Brandon Ingram\ingrabr01,0.2056818181818182,0.41420454545454544,0.017613636363636363,0.053409090909090906,0.18806818181818183,0.36079545454545453,0.11079545454545454,0.16420454545454546,0.023295454545454546,0.12840909090909092,0.15170454545454545,0.0875,0.015909090909090907,0.017613636363636363,0.07329545454545454,0.0846590909090909,0.5397727272727273,SF,0.32978723404255317,0.521259842519685,0.6747404844290658,0.49657064471879286,0.9571823204419889,0.9990232428864073,-0.37469195272403366,-0.5272169,-14.829601
Brandon Knight\knighbr03,0.13451086956521738,0.3532608695652174,0.05570652173913043,0.17527173913043478,0.07880434782608696,0.17798913043478262,0.036684782608695655,0.04619565217391304,0.01358695652173913,0.06657608695652174,0.08016304347826086,0.09646739130434782,0.028532608695652172,0.002717391304347826,0.04076086956521739,0.08423913043478261,0.36141304347826086,PG,0.3178294573643411,0.44274809160305345,0.7941176470588235,0.38076923076923075,0.7929292929292929,-0.779003195052524,-0.5452159113410264,9.252281,0.20840159
Brandon Sampson\sampsbr01,0.1308411214953271,0.2803738317757009,0.0514018691588785,0.13551401869158877,0.0794392523364486,0.14485981308411214,0.018691588785046728,0.028037383177570093,0.014018691588785047,0.06074766355140187,0.07476635514018691,0.04672897196261682,0.037383177570093455,0.014018691588785047,0.056074766355140186,0.08878504672897196,0.3317757009345794,SG,0.3793103448275862,0.5483870967741935,0.6666666666666666,0.4666666666666667,0.8035714285714286,-0.7566261561283475,-0.17031825070242596,6.608216,6.716779
Brook Lopez\lopezbr01,0.152885443583118,0.3385012919896641,0.08053402239448751,0.22049956933677864,0.07235142118863049,0.11800172265288544,0.04823428079242033,0.05727820844099914,0.014211886304909561,0.15633074935400518,0.17054263565891473,0.04220499569336779,0.021963824289405683,0.07708871662360034,0.03531438415159346,0.08139534883720931,0.43453919035314387,C,0.365234375,0.6131386861313869,0.8421052631578947,0.45165394402035625,0.7366197183098592,-0.3094573417690151,-0.23504548463612301,-0.13175967,12.280008
Bruce Brown\brownbr01,0.0862663906142167,0.21670117322291235,0.016563146997929608,0.06418219461697723,0.06970324361628709,0.15251897860593513,0.031055900621118012,0.041407867494824016,0.033126293995859216,0.0945479641131815,0.1276742581090407,0.06280193236714976,0.027605244996549344,0.024844720496894408,0.031746031746031744,0.12284334023464458,0.22015182884748102,SG,0.25806451612903225,0.45701357466063347,0.75,0.3980891719745223,0.904,-0.7224863258066931,0.8748621432395327,6.996573,10.785883
Bruno Caboclo\cabocbr01,0.12,0.28125,0.06,0.1625,0.06,0.11875,0.0525,0.0625,0.0525,0.145,0.1975,0.0625,0.0175,0.04125,0.0475,0.10125,0.3525,PF,0.36923076923076925,0.5052631578947369,0.84,0.4266666666666667,0.75,-0.49804371938885056,0.15020302859300974,0.45279163,10.94495
Bryn Forbes\forbebr01,0.15743567378979503,0.34496293065852596,0.07675534234627127,0.18011338857392062,0.08068033144352377,0.1648495420846053,0.03009158307893589,0.0340165721761884,0.007849978194505015,0.0963802878325338,0.10423026602703882,0.07631923244657654,0.01962494548626254,0.0017444395987788923,0.03488879197557784,0.06934147405146097,0.4217182730047972,SG,0.4261501210653753,0.4894179894179894,0.8846153846153846,0.4563843236409608,0.7562326869806094,-0.7116361947872021,-0.8820583706940444,13.085686,-1.3656778
Buddy Hield\hieldbu01,0.23824091778202677,0.5200764818355641,0.10630975143403441,0.24894837476099427,0.13193116634799235,0.2711281070745698,0.06539196940726577,0.07380497131931166,0.04053537284894838,0.11701720841300191,0.1575525812619503,0.07839388145315487,0.022179732313575527,0.012619502868068833,0.05583173996175908,0.07724665391969407,0.6481835564053537,SG,0.4270353302611367,0.48660084626234135,0.8860103626943006,0.45808823529411763,0.7768860353130016,0.19915902849292996,-1.6553511911709504,7.0301533,-11.274959
C.J. Miles\milescj01,0.1308411214953271,0.3633177570093458,0.07827102803738317,0.2371495327102804,0.052570093457943924,0.1261682242990654,0.056074766355140186,0.06775700934579439,0.015186915887850467,0.09579439252336448,0.11098130841121495,0.04205607476635514,0.030373831775700934,0.017523364485981307,0.035046728971962614,0.09228971962616822,0.39602803738317754,SF,0.33004926108374383,0.4166666666666667,0.8275862068965517,0.36012861736334406,0.7008928571428571,-0.8904303508929415,-0.6179640816066756,14.920067,1.7656614
